Reaction identifier	Equation	Enzyme class	Enzymes
RHEA:29415	(S)-lactate(in) + H(+)(in) = (S)-lactate(out) + H(+)(out)		3804
RHEA:29419	Na(+)(in) + H(+)(out) = Na(+)(out) + H(+)(in)		7933
RHEA:29427	4-(trimethylamino)butanoate(in) + (R)-carnitine(out) = 4-(trimethylamino)butanoate(out) + (R)-carnitine(in)		584
RHEA:29435	enterobactin(in) + H(+)(out) = enterobactin(out) + H(+)(in)		0
RHEA:29439	Fe(2+)(in) + H(+)(out) = Fe(2+)(out) + H(+)(in)		4156
RHEA:29443	L-alanine(in) + H(+)(in) = L-alanine(out) + H(+)(out)		7
RHEA:29447	glycolate(in) = glycolate(out)		0
RHEA:29455	D-serine(in) = D-serine(out)		4
RHEA:29459	beta-alanine(in) + H(+)(in) = beta-alanine(out) + H(+)(out)		8
RHEA:29463	K(+)(in) = K(+)(out)		120937
RHEA:29467	K(+)(in) + H(+)(out) = K(+)(out) + H(+)(in)		22498
RHEA:29567	2 chloride(in) + H(+)(out) = 2 chloride(out) + H(+)(in)		3325
RHEA:29571	L-idonate(in) + H(+)(in) = L-idonate(out) + H(+)(out)		1
RHEA:29575	L-serine(in) + Na(+)(in) = L-serine(out) + Na(+)(out)		7062
RHEA:29579	Fe(2+)(in) + H(+)(in) = Fe(2+)(out) + H(+)(out)		3
RHEA:29583	guanosine(in) + H(+)(out) = guanosine(out) + H(+)(in)		886
RHEA:29651	agmatine(in) + L-arginine(out) = agmatine(out) + L-arginine(in)		344
RHEA:29655	L-cysteine(in) = L-cysteine(out)		1373
RHEA:29659	O-acetyl-L-serine(in) = O-acetyl-L-serine(out)		17
RHEA:29663	xanthine(in) + H(+)(in) = xanthine(out) + H(+)(out)		7
RHEA:29667	H2O(in) = H2O(out)		17492
RHEA:29671	Ca(2+)(in) = Ca(2+)(out)		104074
RHEA:29675	glycerol(in) = glycerol(out)		7287
RHEA:29679	formate(in) = formate(out)		2159
RHEA:29699	dimethyl sulfoxide(in) = dimethyl sulfoxide(out)		0
RHEA:29703	L-valine(in) = L-valine(out)		162
RHEA:29711	cadaverine(in) + H(+)(in) = cadaverine(out) + H(+)(out)		1
RHEA:29723	glyoxylate(in) = glyoxylate(out)		0
RHEA:29731	beta-maltose(in) = beta-maltose(out)		1398
RHEA:29743	2-phenylethylamine(in) = 2-phenylethylamine(out)		0
RHEA:29747	3-phenylpropanoate(in) = 3-phenylpropanoate(out)		0
RHEA:29751	acetoacetate(in) = acetoacetate(out)		0
RHEA:29755	(R)-lipoate(in) = (R)-lipoate(out)		0
RHEA:29759	octanoate(in) = octanoate(out)		0
RHEA:29763	L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate(out) + ATP + H2O = L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate(in) + ADP + phosphate + H(+)		4
RHEA:29767	D-methionine(out) + ATP + H2O = D-methionine(in) + ADP + phosphate + H(+)	EC:7.4.2.11 ABC-type methionine transporter	260
RHEA:29771	arsenate(in) + ATP + H2O = arsenate(out) + ADP + phosphate + H(+)		0
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	EC:7.4.2.11 ABC-type methionine transporter	260
RHEA:29783	L-cysteine(in) + ATP + H2O = L-cysteine(out) + ADP + phosphate + H(+)		2235
RHEA:29787	glutathione(in) + ATP + H2O = glutathione(out) + ADP + phosphate + H(+)		2235
RHEA:29791	glutathione(out) + ATP + H2O = glutathione(in) + ADP + phosphate + H(+)	EC:7.4.2.10 ABC-type glutathione transporter	8918
RHEA:29795	Zn(2+)(out) + ATP(in) + H2O(in) = Zn(2+)(in) + ADP(in) + phosphate(in) + H(+)(in)	EC:7.2.2.20 ABC-type Zn(2+) transporter	94
RHEA:29799	D-allose(out) + ATP + H2O = D-allose(in) + ADP + phosphate + H(+)	EC:7.5.2.8 ABC-type D-allose transporter	1
RHEA:29803	L-valine(out) + ATP + H2O = L-valine(in) + ADP + phosphate + H(+)		0
RHEA:29807	L-leucine(out) + ATP + H2O = L-leucine(in) + ADP + phosphate + H(+)		0
RHEA:29811	thiamine(out) + ATP + H2O = thiamine(in) + ADP + phosphate + H(+)	EC:7.6.2.15 ABC-type thiamine transporter	44
RHEA:29815	L-proline(out) + ATP + H2O = L-proline(in) + ADP + phosphate + H(+)		0
RHEA:29819	L-isoleucine(out) + ATP + H2O = L-isoleucine(in) + ADP + phosphate + H(+)		0
RHEA:29823	chloride(in) = chloride(out)		45521
RHEA:29827	Mg(2+)(in) = Mg(2+)(out)		40242
RHEA:29831	Ni(2+)(in) = Ni(2+)(out)		1450
RHEA:29835	D-galactonate(in) + H(+)(in) = D-galactonate(out) + H(+)(out)		2
RHEA:29871	thiosulfate(out) + ATP + H2O = thiosulfate(in) + ADP + phosphate + H(+)	EC:7.3.2.3 ABC-type sulfate transporter	68
RHEA:29879	L-arginine(out) + ATP + H2O = L-arginine(in) + ADP + phosphate + H(+)	EC:7.4.2.1 ABC-type polar-amino-acid transporter	1655
RHEA:29883	L-ornithine(out) + ATP + H2O = L-ornithine(in) + ADP + phosphate + H(+)	EC:7.4.2.1 ABC-type polar-amino-acid transporter	2
RHEA:29887	L-lysine(out) + ATP + H2O = L-lysine(in) + ADP + phosphate + H(+)	EC:7.4.2.1 ABC-type polar-amino-acid transporter	2
RHEA:29891	L-histidine(out) + ATP + H2O = L-histidine(in) + ADP + phosphate + H(+)		3
RHEA:29895	L-glutamine(out) + ATP + H2O = L-glutamine(in) + ADP + phosphate + H(+)		0
RHEA:29899	D-xylose(out) + ATP + H2O = D-xylose(in) + ADP + phosphate + H(+)	EC:7.5.2.10 ABC-type D-xylose transporter;EC:7.5.2.13 ABC-type D-xylose/L-arabinose transporter	2380
RHEA:29903	D-ribose(out) + ATP + H2O = D-ribose(in) + ADP + phosphate + H(+)	EC:7.5.2.7 ABC-type D-ribose transporter	130
RHEA:29927	(R)-pantothenate(in) + Na(+)(in) = (R)-pantothenate(out) + Na(+)(out)		1840
RHEA:29935	cytosine(in) + H(+)(in) = cytosine(out) + H(+)(out)		0
RHEA:29939	phosphate(in) + H(+)(in) = phosphate(out) + H(+)(out)		8542
RHEA:29943	2-dehydro-3-deoxy-D-gluconate(in) + H(+)(in) = 2-dehydro-3-deoxy-D-gluconate(out) + H(+)(out)		2077
RHEA:29947	L-rhamnopyranose(in) + H(+)(in) = L-rhamnopyranose(out) + H(+)(out)		1017
RHEA:29951	uridine(in) + H(+)(in) = uridine(out) + H(+)(out)		5
RHEA:29955	thymidine(in) + H(+)(in) = thymidine(out) + H(+)(out)		3
RHEA:29963	inosine(in) + H(+)(in) = inosine(out) + H(+)(out)		2
RHEA:29967	2'-deoxyuridine(in) + H(+)(in) = 2'-deoxyuridine(out) + H(+)(out)		0
RHEA:29971	2'-deoxyinosine(in) + H(+)(in) = 2'-deoxyinosine(out) + H(+)(out)		0
RHEA:29975	2'-deoxycytidine(in) + H(+)(in) = 2'-deoxycytidine(out) + H(+)(out)		3
RHEA:29979	2'-deoxyadenosine(in) + H(+)(in) = 2'-deoxyadenosine(out) + H(+)(out)		0
RHEA:29983	cytidine(in) + H(+)(in) = cytidine(out) + H(+)(out)		3
RHEA:29987	adenosine(in) + H(+)(in) = adenosine(out) + H(+)(out)		5
RHEA:29991	L-lyxopyranose(in) + H(+)(in) = L-lyxopyranose(out) + H(+)(out)		1
RHEA:29995	putrescine(out) + ATP + H2O = putrescine(in) + ADP + phosphate + H(+)	EC:7.6.2.16 ABC-type putrescine transporter	1474
RHEA:29999	spermidine(out) + ATP + H2O = spermidine(in) + ADP + phosphate + H(+)	EC:7.6.2.11 ABC-type polyamine transporter	691
RHEA:30007	L-arabinose(out) + ATP + H2O = L-arabinose(in) + ADP + phosphate + H(+)	EC:7.5.2.12 ABC-type L-arabinose transporter;EC:7.5.2.13 ABC-type D-xylose/L-arabinose transporter	2389
RHEA:30011	beta-D-galactose(out) + ATP + H2O = beta-D-galactose(in) + ADP + phosphate + H(+)		0
RHEA:30251	2 a ubiquinol + O2 + n H(+)(in) = 2 a ubiquinone + 2 H2O + n H(+)(out)	EC:7.1.1.3 ubiquinol oxidase (H(+)-transporting)	3503
RHEA:30259	2 a menaquinol + O2 + n H(+)(in) = 2 a menaquinone + 2 H2O(in) + n H(+)(out)	EC:7.1.1.5 menaquinol oxidase (H(+)-transporting)	0
RHEA:30403	Fe(3+)(out) + L-ascorbate(in) = monodehydro-L-ascorbate radical(in) + Fe(2+)(out) + H(+)	EC:7.2.1.3 ascorbate ferrireductase (transmembrane)	3549
RHEA:32123	citrate(in) + H(+)(in) = citrate(out) + H(+)(out)		5
RHEA:32143	L-arginine(in) = L-arginine(out)		8315
RHEA:32747	ethanolamine(in) = ethanolamine(out)		2747
RHEA:32751	choline(out) = choline(in)		5658
RHEA:32775	(2-aminoethyl)phosphonate(out) + ATP + H2O = (2-aminoethyl)phosphonate(in) + ADP + phosphate + H(+)		0
RHEA:32779	Co(2+)(out) + ATP + H2O = Co(2+)(in) + ADP + phosphate + H(+)		2
RHEA:32783	glycine betaine(out) + ATP + H2O = glycine betaine(in) + ADP + phosphate + H(+)		1
RHEA:32787	L-ectoine(out) + ATP + H2O = L-ectoine(in) + ADP + phosphate + H(+)		0
RHEA:32791	L-ectoine(in) = L-ectoine(out)		0
RHEA:32795	L-cysteine(out) + ATP + H2O = L-cysteine(in) + ADP + phosphate + H(+)		0
RHEA:32799	urea(in) = urea(out)		5402
RHEA:32803	urea(out) + ATP + H2O = urea(in) + ADP + phosphate + H(+)		0
RHEA:32807	thiosulfate(in) = thiosulfate(out)		2
RHEA:32811	benzoate(in) = benzoate(out)		0
RHEA:32815	Hg(2+)(in) = Hg(2+)(out)		0
RHEA:32819	chromate(in) = chromate(out)		0
RHEA:32823	phosphate(in) = phosphate(out)		5354
RHEA:32827	methionine(out) + ATP + H2O = methionine(in) + ADP + phosphate + H(+)		0
RHEA:32831	an R-cob(III)alamin(in) = an R-cob(III)alamin(out)		0
RHEA:32835	4-(trimethylamino)butanoate(in) = 4-(trimethylamino)butanoate(out)		0
RHEA:32867	myo-inositol(out) = myo-inositol(in)		506
RHEA:32911	sn-glycerol 3-phosphocholine(out) = sn-glycerol 3-phosphocholine(in)		3
RHEA:32915	sn-glycero-3-phospho-1D-myo-inositol(out) = sn-glycero-3-phospho-1D-myo-inositol(in)		2
RHEA:33115	malonate(in) = malonate(out)		0
RHEA:33135	malonate(in) + Na(+)(in) = malonate(out) + Na(+)(out)		0
RHEA:33139	L-aspartate(in) + L-alanine(out) = L-aspartate(out) + L-alanine(in)		0
RHEA:33143	galactitol(in) = galactitol(out)		0
RHEA:33147	daunorubicin(in) + ATP + H2O = daunorubicin(out) + ADP + phosphate + H(+)	EC:7.6.2.2 ABC-type xenobiotic transporter	1488
RHEA:33163	beta-nicotinamide D-riboside(in) = beta-nicotinamide D-riboside(out)		0
RHEA:33171	D-maltose(in) = D-maltose(out)		0
RHEA:33175	4-hydroxyphenylacetate(in) = 4-hydroxyphenylacetate(out)		0
RHEA:33183	citrate(in) = citrate(out)		285
RHEA:33307	(2R)-2-O-(alpha-D-mannosyl)-glycerate(out) + N(pros)-phospho-L-histidyl-[protein] = (2R)-2-O-(6-phospho-alpha-D-mannosyl)-glycerate(in) + L-histidyl-[protein]	EC:2.7.1.195 protein-N(pi)-phosphohistidine--2-O-alpha-mannosyl-D-glycerate phosphotransferase	1
RHEA:33363	D-mannitol(out) + N(pros)-phospho-L-histidyl-[protein] = D-mannitol 1-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.197 protein-N(pi)-phosphohistidine--D-mannitol phosphotransferase	5555
RHEA:33367	N(pros)-phospho-L-histidyl-[protein] + D-glucose(out) = D-glucose 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.199 protein-N(pi)-phosphohistidine--D-glucose phosphotransferase	2304
RHEA:33371	alpha,alpha-trehalose(out) + N(pros)-phospho-L-histidyl-[protein] = alpha,alpha-trehalose 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.201 protein-N(pi)-phosphohistidine--trehalose phosphotransferase	2
RHEA:33399	N-acetyl-beta-D-muramate(out) + N(pros)-phospho-L-histidyl-[protein] = N-acetyl-beta-D-muramate 6-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.192 protein-N(pi)-phosphohistidine--N-acetylmuramate phosphotransferase	1849
RHEA:33423	N,N'-diacetylchitobiose(out) + N(pros)-phospho-L-histidyl-[protein] = diacetylchitobiose-6'-phosphate(in) + L-histidyl-[protein]	EC:2.7.1.196 protein-N(pi)-phosphohistidine--N,N'-diacetylchitobiose phosphotransferase	688
RHEA:33503	itraconazole(in) + ATP + H2O = itraconazole(out) + ADP + phosphate + H(+)		285
RHEA:33655	(9Z)-octadecenoate(out) = (9Z)-octadecenoate(in)		3095
RHEA:34759	glycerol 2-phosphate(out) + ATP + H2O = glycerol 2-phosphate(in) + ADP + phosphate + H(+)		1
RHEA:34763	(S,S)-tartrate(out) + succinate(in) = (S,S)-tartrate(in) + succinate(out)		5
RHEA:34871	methanol(out) = methanol(in)		0
RHEA:34883	selenate(out) + ATP + H2O = selenate(in) + ADP + phosphate + H(+)		0
RHEA:34887	selenate(in) = selenate(out)		0
RHEA:34891	selenite(in) = selenite(out)		3
RHEA:34895	selenite(out) + ATP + H2O = selenite(in) + ADP + phosphate + H(+)		0
RHEA:34907	molybdate(in) = molybdate(out)		0
RHEA:34911	D-methionine(in) = D-methionine(out)		0
RHEA:34915	D-galactose(in) = D-galactose(out)		3737
RHEA:34919	thiamine(in) = thiamine(out)		979
RHEA:34923	nitrate(in) = nitrate(out)		3628
